"(PDH-TSV 4.0) (W. Europe Daylight Time)(-120)"	"\\DESKTOP-AUKC413\Network Interface(Intel[R] Ethernet Connection [3] I218-V)\Bytes Sent/sec"	"\\DESKTOP-AUKC413\Network Interface(Intel[R] Ethernet Connection [3] I218-V)\Packets/sec"	"\\DESKTOP-AUKC413\Network Interface(Intel[R] Ethernet Connection [3] I218-V)\Current Bandwidth"	"\\DESKTOP-AUKC413\Processor(_Total)\% User Time"	"\\DESKTOP-AUKC413\IPv4\Fragments Created/sec"	"Generate a report detailing the status of local hardware resources, system response times, and processes on the local computer. Use this information to identify possible causes of performance issues. Membership in the local Administrators group, or equivalent, is the minimum required to run this Data Collector Set."
"05/29/2017 13:30:02.350"	" "	" "	"1000000000"	" "	" "	" "
"05/29/2017 13:30:03.337"	"0"	"0"	"1000000000"	"5.1427835317257973"	"0"	" "
"05/29/2017 13:30:04.341"	"0"	"0"	"1000000000"	"10.505398887352287"	"0"	" "
"05/29/2017 13:30:05.344"	"0"	"0"	"1000000000"	"22.984571126134163"	"0"	" "
"05/29/2017 13:30:06.347"	"0"	"0"	"1000000000"	"22.978767825794691"	"0"	" "
"05/29/2017 13:30:07.336"	"15410075.420391578"	"11578.113779091245"	"1000000000"	"18.153217550785818"	"0"	" "
"05/29/2017 13:30:08.339"	"122425604.13950695"	"91940.584143099797"	"1000000000"	"7.4018380431306152"	"0"	" "
"05/29/2017 13:30:09.342"	"122445969.28735368"	"89406.030830804186"	"1000000000"	"7.4018000192478093"	"0"	" "
"05/29/2017 13:30:10.344"	"122451189.00591725"	"85351.183210398987"	"1000000000"	"5.8493728928549036"	"0"	" "
"05/29/2017 13:30:11.346"	"122479284.03423135"	"92373.052771110233"	"1000000000"	"4.6748237479251262"	"0"	" "
"05/29/2017 13:30:12.335"	"122441134.10366361"	"93585.587164153738"	"1000000000"	"6.7163617547810164"	"0"	" "
"05/29/2017 13:30:13.338"	"122441341.69182336"	"92397.741002297276"	"1000000000"	"5.064423643850283"	"0"	" "
"05/29/2017 13:30:14.340"	"122445728.32469469"	"92095.873496970438"	"1000000000"	"5.8436074532555882"	"0"	" "
"05/29/2017 13:30:15.342"	"122457511.41221629"	"88197.448672284154"	"1000000000"	"4.6794312566840999"	"0"	" "
"05/29/2017 13:30:16.345"	"122460348.34208642"	"93142.61616482769"	"1000000000"	"8.1809367547716558"	"0"	" "
"05/29/2017 13:30:17.348"	"122457090.32929575"	"87056.127025590133"	"1000000000"	"5.0644687245529676"	"0"	" "
"05/29/2017 13:30:18.335"	"122434207.13577032"	"90590.296449090034"	"1000000000"	"6.3278304157647822"	"0"	" "
"05/29/2017 13:30:19.338"	"122450970.60237792"	"92350.292326589362"	"1000000000"	"5.0643170751774536"	"0"	" "
"05/29/2017 13:30:20.341"	"122452677.07183889"	"91980.414458747007"	"1000000000"	"6.6227683279719525"	"0"	" "
"05/29/2017 13:30:21.343"	"122454036.29109691"	"91988.696489018053"	"1000000000"	"7.4017996577086018"	"0"	" "
"05/29/2017 13:30:22.346"	"122479143.57568806"	"91623.794385378598"	"1000000000"	"6.2331070333183005"	"0"	" "
"05/29/2017 13:30:23.349"	"122429289.52387069"	"85273.082931847282"	"1000000000"	"7.7913729132085443"	"0"	" "
"05/29/2017 13:30:24.337"	"122453902.57123929"	"85247.286210020742"	"1000000000"	"7.1186946209852584"	"0"	" "
"05/29/2017 13:30:25.339"	"122443437.05405517"	"91411.839987205109"	"1000000000"	"5.0644586228648221"	"0"	" "
"05/29/2017 13:30:26.342"	"122459321.1517652"	"89898.697474013374"	"1000000000"	"7.4017103393253389"	"0"	" "
"05/29/2017 13:30:27.345"	"122453668.03913894"	"91076.348591848888"	"1000000000"	"4.2852475515905759"	"0"	" "
"05/29/2017 13:30:28.347"	"122466120.10903674"	"91790.929615138055"	"1000000000"	"5.4540382771512119"	"0"	" "
"05/29/2017 13:30:29.335"	"122447886.24282639"	"91935.42668706835"	"1000000000"	"3.5594121937479772"	"0"	" "
"05/29/2017 13:30:30.338"	"122439574.73325327"	"92010.866431833725"	"1000000000"	"6.6226626502239174"	"0"	" "
"05/29/2017 13:30:31.341"	"122460403.21922231"	"90103.622665167961"	"1000000000"	"4.2851891469692385"	"0"	" "
"05/29/2017 13:30:32.343"	"122456121.97861479"	"92175.058499670849"	"1000000000"	"8.1809471788611319"	"0"	" "
"05/29/2017 13:30:33.346"	"122444178.50026198"	"89509.840836725649"	"1000000000"	"5.843617426354152"	"0"	" "
"05/29/2017 13:30:34.349"	"122446803.7052612"	"89117.211817239659"	"1000000000"	"4.6747552148577336"	"0"	" "
"05/29/2017 13:30:35.336"	"122462896.11837958"	"88314.911751773849"	"1000000000"	"6.7233147544857488"	"0"	" "
"05/29/2017 13:30:36.339"	"122455385.67226771"	"88904.786617021891"	"1000000000"	"5.4539615831672421"	"0"	" "
"05/29/2017 13:30:37.342"	"122451059.36160143"	"86466.375003598616"	"1000000000"	"5.0643973800642179"	"0"	" "
"05/29/2017 13:30:38.344"	"122453668.03913894"	"92088.585042116902"	"1000000000"	"5.4539615831672421"	"0"	" "
"05/29/2017 13:30:39.347"	"122466979.45618761"	"89555.271556910942"	"1000000000"	"5.843610949990067"	"0"	" "
"05/29/2017 13:30:40.335"	"122428809.74762185"	"92006.676203565265"	"1000000000"	"7.1188099384813324"	"0"	" "
"05/29/2017 13:30:41.338"	"122454653.14041428"	"92432.409178756017"	"1000000000"	"6.6226640370004253"	"0"	" "
"05/29/2017 13:30:42.340"	"122449539.03774749"	"92153.88463871069"	"1000000000"	"4.6748237479251262"	"0"	" "
"05/29/2017 13:30:43.343"	"122458182.0865961"	"88360.552519594567"	"1000000000"	"4.2851902853582278"	"0"	" "
"05/29/2017 13:30:44.346"	"122473117.15042417"	"89809.933495835096"	"1000000000"	"6.2331940621695781"	"0"	" "
"05/29/2017 13:30:45.348"	"122435265.34857504"	"88503.90853244286"	"1000000000"	"5.0643943496448935"	"0"	" "
"05/29/2017 13:30:46.336"	"122447148.16050497"	"92103.941336670963"	"1000000000"	"7.5141771578782395"	"0"	" "
"05/29/2017 13:30:47.339"	"122451163.17973058"	"88663.415017244333"	"1000000000"	"7.0123349277658438"	"0"	" "
"05/29/2017 13:30:48.342"	"122450477.74182554"	"89874.7820985984"	"1000000000"	"4.2852600887433638"	"0"	" "
"05/29/2017 13:30:49.344"	"122452716.27190287"	"92889.305735271264"	"1000000000"	"4.6748242141433503"	"0"	" "
"05/29/2017 13:30:50.347"	"122482876.55620667"	"89274.699052026583"	"1000000000"	"6.2331026819395303"	"0"	" "
"05/29/2017 13:30:51.335"	"122426768.48001693"	"89051.597717446304"	"1000000000"	"6.7233065860485182"	"0"	" "
"05/29/2017 13:30:52.337"	"122453382.12220223"	"89210.445710293687"	"1000000000"	"7.401809254026781"	"0"	" "
"05/29/2017 13:30:53.339"	"56411623.206918158"	"42460.314769589837"	"1000000000"	"6.6271397350649046"	"0"	" "
"05/29/2017 13:30:54.344"	"0"	"0"	"1000000000"	"10.115124936545488"	"0"	" "
