-s -u -ip 169.254.94.177 
Packet Size: 30720 KB
AverageTime (ms)	HighestTime (ms)	LowestTime (ms)
13202	13314	13088

AverageLoss	HighestLoss	LowestLoss
0.000509255	0.00200269	5.72197e-05
