"(PDH-TSV 4.0) (W. Europe Daylight Time)(-120)"	"\\DESKTOP-AUKC413\Network Interface(Intel[R] Ethernet Connection [3] I218-V)\Bytes Sent/sec"	"\\DESKTOP-AUKC413\Network Interface(Intel[R] Ethernet Connection [3] I218-V)\Packets/sec"	"\\DESKTOP-AUKC413\Network Interface(Intel[R] Ethernet Connection [3] I218-V)\Current Bandwidth"	"\\DESKTOP-AUKC413\Processor(_Total)\% User Time"	"\\DESKTOP-AUKC413\IPv4\Fragments Created/sec"	"Generate a report detailing the status of local hardware resources, system response times, and processes on the local computer. Use this information to identify possible causes of performance issues. Membership in the local Administrators group, or equivalent, is the minimum required to run this Data Collector Set."
"05/29/2017 12:20:22.505"	" "	" "	"1000000000"	" "	" "	" "
"05/29/2017 12:20:23.505"	"0"	"0"	"1000000000"	"1.5624728129730543"	"0"	" "
"05/29/2017 12:20:24.505"	"0"	"0"	"1000000000"	"2.3436447703498113"	"0"	" "
"05/29/2017 12:20:25.505"	"0"	"0"	"1000000000"	"1.5623698545911124"	"0"	" "
"05/29/2017 12:20:26.505"	"0"	"0"	"1000000000"	"3.5156300000000003"	"0"	" "
"05/29/2017 12:20:27.505"	"81354780.250398844"	"53683.413242575924"	"1000000000"	"6.2498912518922172"	"53680.413219482434"	" "
"05/29/2017 12:20:28.505"	"96604622.758610249"	"63747.237877850006"	"1000000000"	"5.0779605520386664"	"63708.240179347456"	" "
"05/29/2017 12:20:29.505"	"98907258.033765659"	"65265.785864206169"	"1000000000"	"0.78121390791745415"	"65294.785324730816"	" "
"05/29/2017 12:20:30.505"	"102440746.2933515"	"67597.349563925512"	"1000000000"	"0"	"67583.349698635197"	" "
"05/29/2017 12:20:31.517"	"102648607.57877657"	"67736.441053030052"	"1000000000"	"1.5444880261897724"	"67761.152641547364"	" "
"05/29/2017 12:20:32.525"	"99247385.753813058"	"65489.256580696623"	"1000000000"	"0"	"65489.256580696623"	" "
"05/29/2017 12:20:33.525"	"99612331.343613654"	"65730.921945699913"	"1000000000"	"0.39061597688642979"	"65732.921852048094"	" "
"05/29/2017 12:20:34.525"	"101155056.44131462"	"66749.057998672157"	"1000000000"	"0"	"66747.058026896906"	" "
"05/29/2017 12:20:35.525"	"99309894.265512466"	"65532.393657931112"	"1000000000"	"0"	"65513.394413565489"	" "
